rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
114,frame_0280.jpg,112.0,0.4647,0.5123,0.4286,0.4,5,3,False,False
115,frame_0010.jpg,4.0,0.4622,0.4387,0.1429,1.0,2,1,False,False
116,frame_0184.jpg,73.6,0.4583,0.6274,0.4286,0.08,6,3,False,False
117,frame_0083.jpg,33.2,0.4546,0.4817,0.2857,0.64,3,2,False,False
118,frame_0329.jpg,131.6,0.4544,0.6196,0.4286,0.08,8,3,False,False
119,frame_0018.jpg,7.2,0.4542,0.337,0.2857,1.0,5,2,False,False
120,frame_0169.jpg,67.6,0.4531,0.5268,0.2857,0.52,7,2,False,False
121,frame_0193.jpg,77.2,0.4509,0.4629,0.5714,0.24,6,4,False,False
122,frame_0023.jpg,9.2,0.4502,0.4147,0.1429,1.0,2,1,False,False
123,frame_0205.jpg,82.0,0.4501,0.4408,0.2857,0.72,2,2,False,False
124,frame_0207.jpg,82.8,0.4494,0.4073,0.2857,0.8,2,2,False,False
125,frame_0299.jpg,119.6,0.4492,0.5189,0.2857,0.52,5,2,False,False
126,frame_0216.jpg,86.4,0.448,0.5486,0.2857,0.44,3,2,False,False
127,frame_0112.jpg,44.8,0.4479,0.6444,0.2857,0.2,4,2,False,False
128,frame_0333.jpg,133.2,0.445,0.5151,0.5714,0.08,6,4,False,False
129,frame_0332.jpg,132.8,0.4437,0.6142,0.4286,0.04,6,3,False,False
130,frame_0106.jpg,42.4,0.4433,0.6134,0.4286,0.04,7,3,False,False
131,frame_0384.jpg,153.6,0.4428,0.5645,0.4286,0.16,7,3,False,False
132,frame_0100.jpg,40.0,0.4423,0.5257,0.5714,0.04,4,4,False,False
133,frame_0316.jpg,126.4,0.4409,0.5606,0.4286,0.16,6,3,False,False
134,frame_0173.jpg,69.2,0.4394,0.6491,0.1429,0.36,6,1,False,False
135,frame_0294.jpg,117.6,0.4394,0.4194,0.2857,0.72,5,2,False,False
136,frame_0220.jpg,88.0,0.4391,0.5948,0.2857,0.28,3,2,False,False
137,frame_0296.jpg,118.4,0.4368,0.4462,0.2857,0.64,6,2,False,False
138,frame_0104.jpg,41.6,0.4355,0.5658,0.4286,0.12,4,3,False,False
139,frame_0128.jpg,51.2,0.4353,0.4488,0.1429,0.84,6,1,False,False
140,frame_0076.jpg,30.4,0.4347,0.4156,0.1429,0.92,7,1,False,False
141,frame_0006.jpg,2.4,0.4346,0.2977,0.2857,1.0,3,2,False,False
142,frame_0133.jpg,53.2,0.4345,0.2976,0.2857,1.0,5,2,False,False
143,frame_0385.jpg,154.0,0.4344,0.446,0.5714,0.2,7,4,False,False
144,frame_0396.jpg,158.4,0.4342,0.5473,0.4286,0.16,7,3,False,False
145,frame_0283.jpg,113.2,0.4291,0.3931,0.4286,0.52,5,3,False,False
146,frame_0314.jpg,125.6,0.4291,0.4834,0.5714,0.08,5,4,False,False
147,frame_0027.jpg,10.8,0.4275,0.3693,0.1429,1.0,3,1,False,False
148,frame_0273.jpg,109.2,0.4265,0.5479,0.4286,0.12,3,3,False,False
149,frame_0109.jpg,43.6,0.4249,0.475,0.5714,0.08,6,4,False,False
150,frame_0213.jpg,85.2,0.4243,0.4532,0.2857,0.56,3,2,False,False
151,frame_0088.jpg,35.2,0.4238,0.5002,0.2857,0.44,4,2,False,False
152,frame_0395.jpg,158.0,0.4238,0.5425,0.4286,0.12,5,3,False,False
153,frame_0398.jpg,159.2,0.4211,0.489,0.4286,0.24,6,3,False,False
154,frame_0084.jpg,33.6,0.4205,0.4296,0.2857,0.6,3,2,False,False
155,frame_0086.jpg,34.4,0.4181,0.3711,0.4286,0.52,5,3,False,False
156,frame_0330.jpg,132.0,0.4176,0.562,0.4286,0.04,7,3,False,False
157,frame_0230.jpg,92.0,0.4171,0.5291,0.4286,0.12,8,3,False,False
158,frame_0285.jpg,114.0,0.4151,0.4187,0.2857,0.6,5,2,False,False
159,frame_0189.jpg,75.6,0.4129,0.5367,0.4286,0.08,3,3,False,False
160,frame_0313.jpg,125.2,0.4094,0.6314,0.2857,0.04,2,2,False,False
161,frame_0005.jpg,2.0,0.4091,0.3325,0.1429,1.0,5,1,False,False
162,frame_0373.jpg,149.2,0.4079,0.5803,0.2857,0.16,4,2,False,False
163,frame_0103.jpg,41.2,0.4047,0.4883,0.4286,0.16,3,3,False,False
164,frame_0117.jpg,46.8,0.4041,0.4768,0.2857,0.4,4,2,False,False
165,frame_0080.jpg,32.0,0.4037,0.332,0.2857,0.76,6,2,False,False
166,frame_0202.jpg,80.8,0.4035,0.3098,0.4286,0.6,5,3,False,False
167,frame_0320.jpg,128.0,0.4021,0.451,0.4286,0.24,5,3,False,False
168,frame_0090.jpg,36.0,0.4001,0.3991,0.4286,0.36,5,3,False,False
169,frame_0087.jpg,34.8,0.3998,0.5218,0.1429,0.48,3,1,False,False
170,frame_0225.jpg,90.0,0.3995,0.5098,0.4286,0.08,6,3,False,False
171,frame_0232.jpg,92.8,0.3985,0.4598,0.4286,0.2,6,3,False,False
172,frame_0121.jpg,48.4,0.3979,0.4004,0.2857,0.56,5,2,False,False
173,frame_0078.jpg,31.2,0.3978,0.3738,0.1429,0.84,6,1,False,False
174,frame_0219.jpg,87.6,0.3973,0.4095,0.4286,0.32,3,3,False,False
175,frame_0178.jpg,71.2,0.3971,0.4731,0.4286,0.16,6,3,False,False
176,frame_0111.jpg,44.4,0.3923,0.5491,0.2857,0.16,3,2,False,False
177,frame_0028.jpg,11.2,0.3918,0.2978,0.1429,1.0,4,1,False,False
178,frame_0217.jpg,86.8,0.3911,0.5364,0.1429,0.4,1,1,False,False
179,frame_0009.jpg,3.6,0.3907,0.2956,0.1429,1.0,2,1,False,False
180,frame_0282.jpg,112.8,0.3904,0.4174,0.2857,0.48,5,2,False,False
181,frame_0394.jpg,157.6,0.3898,0.5761,0.2857,0.08,3,2,False,False
182,frame_0094.jpg,37.6,0.3895,0.4418,0.4286,0.2,5,3,False,False
183,frame_0399.jpg,159.6,0.3875,0.4915,0.2857,0.28,5,2,False,False
184,frame_0091.jpg,36.4,0.3873,0.5608,0.1429,0.32,2,1,False,False
185,frame_0226.jpg,90.4,0.3857,0.4983,0.4286,0.04,4,3,False,False
186,frame_0281.jpg,112.4,0.3824,0.5031,0.1429,0.44,4,1,False,False
187,frame_0228.jpg,91.2,0.3801,0.4014,0.5714,0.04,5,4,False,False
188,frame_0224.jpg,89.6,0.3793,0.6249,0.1429,0.12,4,1,False,False
189,frame_0016.jpg,6.4,0.3783,0.2708,0.1429,1.0,6,1,False,False
190,frame_0300.jpg,120.0,0.3763,0.3891,0.2857,0.48,7,2,False,False
191,frame_0200.jpg,80.0,0.3734,0.3673,0.2857,0.52,2,2,False,False
192,frame_0208.jpg,83.2,0.3734,0.3571,0.1429,0.76,3,1,False,False
193,frame_0218.jpg,87.2,0.3714,0.4274,0.2857,0.36,3,2,False,False
194,frame_0319.jpg,127.6,0.3714,0.3737,0.4286,0.28,7,3,False,False
195,frame_0188.jpg,75.2,0.3689,0.4646,0.4286,0.04,7,3,False,False
196,frame_0022.jpg,8.8,0.3667,0.2477,0.1429,1.0,4,1,False,False
197,frame_0192.jpg,76.8,0.3608,0.3844,0.4286,0.2,5,3,False,False
198,frame_0211.jpg,84.4,0.3559,0.3701,0.1429,0.64,3,1,False,False
199,frame_0098.jpg,39.2,0.3548,0.4364,0.4286,0.04,5,3,False,False
200,frame_0309.jpg,123.6,0.3546,0.404,0.4286,0.12,8,3,False,False
201,frame_0124.jpg,49.6,0.3533,0.3489,0.1429,0.68,6,1,False,False
202,frame_0171.jpg,68.4,0.352,0.3566,0.2857,0.44,6,2,False,False
203,frame_0185.jpg,74.0,0.3498,0.4104,0.4286,0.08,6,3,False,False
204,frame_0271.jpg,108.4,0.3488,0.5101,0.2857,0.04,3,2,False,False
205,frame_0277.jpg,110.8,0.348,0.4126,0.2857,0.28,7,2,False,False
206,frame_0172.jpg,68.8,0.3455,0.2739,0.4286,0.4,5,3,False,False
